filepath,pii_hash,category,event_code,methodology,confidence_score
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,a21daa1880017b9dc34bad45190017f5d2a8e5f73defa8311897821be522e55d,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,a21daa1880017b9dc34bad45190017f5d2a8e5f73defa8311897821be522e55d,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,e3a1c7313e9a0779481a3d48b11f72f32f57d22eb1c298fd8292a60b50ce9e8c,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,a21daa1880017b9dc34bad45190017f5d2a8e5f73defa8311897821be522e55d,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,a21daa1880017b9dc34bad45190017f5d2a8e5f73defa8311897821be522e55d,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,a21daa1880017b9dc34bad45190017f5d2a8e5f73defa8311897821be522e55d,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,6bf004dcd179c1f207828dc31525bbc4a29925c52458ff12b789e36d3b0d1fd2,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,5f2b0cc78934385587c2d6f5cd003101e8dd096109adf6cb66b5559f804f017d,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,1e9720af1c3d46c8025d6b5a8204594bc353e8853a6d6b20547c32ad612534e8,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
/Users/webdev/Documents/Complyable/small_batch/283-lebenslauf-abitur.docx,4e425901c513bb380b43697595e3640c43794040acec56d2c3aa8f205062ea51,Inclusion,T3-FLG,Morphological Gender Flagging,0.75
